,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
6206,4,87.5,2.56,3,6.0,0,16,3,6.0,0.0,100.0,7
6207,5,98.8,2.4,3,4.0,0,3,7,4.0,0.0,100.0,7
6208,4,76.5,2.38,3,3.0,0,0,6,3.0,0.0,100.0,7
6209,0,124.4,2.4,3,7.0,0,0,4,7.0,0.0,100.0,7
6210,2,61.62,2.93,3,4.0,0,12,3,4.0,0.0,100.0,7
6211,0,107.0,2.43,3,4.0,0,3,4,4.0,0.0,100.0,7
6212,3,96.5,2.57,3,7.0,0,16,3,7.0,0.0,100.0,7
6213,4,94.6,2.79,3,4.0,3,16,14,4.0,0.0,90.0,7
6214,5,77.4,2.62,3,7.0,0,1,8,7.0,0.0,100.0,21
6215,4,106.3,2.71,1,5.0,0,2,2,5.0,0.0,100.0,7
6216,4,69.4,2.43,3,5.0,0,3,8,5.0,0.0,100.0,7
6217,4,67.3,2.5,3,3.0,0,3,6,3.0,0.0,100.0,21
6218,5,93.0,2.4,3,5.0,0,3,4,5.0,0.0,100.0,21
6219,3,83.56,2.41,0,5.0,0,23,6,5.0,0.0,100.0,7
6220,5,82.8,2.5,3,7.0,3,5,8,7.0,2.0,15.0,7
6221,4,95.0,2.7,3,3.0,0,16,8,3.0,0.0,100.0,7
6222,0,127.0,2.6,3,5.0,0,2,17,5.0,2.0,100.0,7
6223,0,141.4,2.4,3,6.0,0,3,6,6.0,0.0,100.0,7
6224,0,116.8,2.4,3,6.0,0,0,7,6.0,0.0,100.0,7
6225,5,115.75,2.7,3,5.0,0,1,13,5.0,0.0,100.0,7
6226,5,55.9,2.31,3,4.0,0,0,6,4.0,0.0,100.0,7
6227,4,54.6,2.31,3,3.0,0,25,4,3.0,0.0,100.0,7
6228,4,88.4,2.42,3,6.0,0,3,8,6.0,0.0,100.0,7
6229,4,63.7,2.24,3,3.0,0,0,6,3.0,0.0,100.0,7
